1,0.81,0.87
2,-0.32,-0.26
3,0.31,0.37
4,0.62,0.68
5,1.6,1.7
6,3.00E-02,0.07
7,-2.00E-03,0
8,-0.38,-0.32
9,0.13,0.19
10,0.92,1
11,2.00E-02,0.06
12,-2.00E-03,0.001
13,0.1,0.16
14,2.00E-02,0.08
15,3.00E-02,0.09
16,2.00E-02,0.06
17,1.00E-02,0.05
18,3.00E-02,0.09
19,2.00E-02,0.08
20,-0.32,-0.26
21,0.28,0.34
22,0.77,0.83
23,0.00E+00,0.04
24,-2.00E-03,0.001
25,0.00E+00,0.04
26,0.07,0.13
27,3.00E-02,0.09
28,1.00E-02,0.05
29,2.00E-02,0.08
30,2.00E-02,0.08
31,3.00E-02,0.09
32,-0.36,-0.3
33,0.28,0.34
34,0.77,0.83
35,0.00E+00,0.04
36,-2.00E-03,0.001
37,2.00E-02,0.08
38,2.00E-02,0.06
39,7.00E-02,0.13
40,2.00E-02,0.06
41,2.00E-02,0.06
42,2.00E-02,0.08
43,2.00E-02,0.06
44,-0.55,-0.49
45,0.21,0.27
46,0.5,0.6
47,0.00E+00,0.04
48,-2.00E-03,0.001
49,0.00E+00,0.03
50,1.00E-02,0.05
51,2.00E-02,0.08
52,7.00E-02,0.13
53,0.00E+00,0.04
54,1.00E-02,0.07
55,2.00E-02,0.08
56,-0.31,-0.25
57,0.34,0.4
58,0.68,0.76
59,0.00E+00,0.02
60,-2.00E-03,0.001
61,-1.00E-02,0.03
62,1.00E-02,0.06
63,3.00E-02,0.09
64,-1.00E-02,0.03
65,6.00E-02,0.12
66,2.00E-02,0.06
67,3.00E-02,0.09
68,-0.38,-0.32
69,0.28,0.34
70,0.68,0.76
71,0.00E+00,0.04
72,-2.00E-03,0.001
73,4.00E-02,0.1
74,2.00E-02,0.06
75,4.00E-02,0.1
76,2.00E-02,0.06
77,3.00E-02,0.09
78,0.07,0.13
79,2.00E-02,0.08
80,-0.28,-0.22
81,0.28,0.34
82,0.8,0.88
83,0.00E+00,0.04
84,-2.00E-03,0.001
85,-1.00E-02,0.03
86,-3.00E-02,0.01
87,0.00E+00,0.04
88,-2.00E-02,0.02
89,-1.00E-02,0.03
90,-1.00E-02,0.03
91,6.00E-02,0.12
92,18,19
93,0.17,0.23
94,0.13,0.19
95,0.12,0.18
96,0.16,0.22
97,0.17,0.23
98,0.14,0.2
99,0.19,0.25
100,3,3.4
101,3.1,3.5
102,3.2,3.6
103,3.1,3.5
104,3,3.4
105,3.2,3.6
106,3.1,3.5
107,-1.10E-01,-0.05
108,0.18,0.24
109,-0.25,-0.19
110,-9.00E-02,-0.03
111,0.14,0.2
112,-0.21,-0.15
113,1.8,1.9
114,1.87,1.97
115,2.4,2.5
116,1.76,1.86
117,1.79,1.89
118,2.06,2.16
119,2.03,2.13
120,0.08,0.14
121,-1.00E-02,0.03
122,2.00E-02,0.08
123,0.27,0.33
124,1.00E-02,0.05
125,-1.00E-03,0.001
126,0.45,0.51
127,0.39,0.45
128,-1.00E-01,-0.04
129,0.08,0.14
130,0.22,0.28
131,0.67,0.75
132,2.1,2.2
133,0.82,0.9
134,0.46,0.54
135,0.76,0.84
136,0.54,0.62
137,0.83,0.91
138,0.8,0.88
139,0.48,0.56
140,0.75,0.83
141,-0.86,-0.78
142,-0.68,-0.6
143,-0.57,-0.49
144,-1.04,-0.94
145,-0.34,-0.26
146,-0.45,-0.37
147,-0.96,-0.86
148,-0.71,-0.61
149,-0.23,-0.15
150,0.15,0.23
151,0.2,0.28
152,0.32,0.4
153,5.00E-02,0.11
154,0.28,0.36
155,0.14,0.2
156,7.00E-02,0.13
157,4.00E-02,0.1
158,0.16,0.22
159,2.00E-02,0.06
160,0.00E+00,0.04
161,0.47,0.55
162,0.3,0.38
163,0.46,0.54
164,0.38,0.46
165,0.09,0.15
166,0.13,0.19
167,6.00E-02,0.12
168,0.19,0.25
169,-9.00E-02,-0.03
170,0.22,0.28
171,0.22,0.28
172,0.07,0.13
173,0.61,0.69
174,0.17,0.23
175,0.22,0.28
176,-1.00E-02,0.01
177,0.41,0.48
178,-2.00E-02,0
179,0.3,0.36
180,-1.00E-02,0.005
181,0.31,0.37
182,-1.00E-02,0.01
183,0.3,0.36
184,-1.00E-02,0.01
185,0.37,0.45
186,-2.00E-02,0
187,0.15,0.21
188,-1.00E-02,0.01
189,0.11,0.17
190,-1.00E-02,0.01
191,0.28,0.34
192,-1.00E-02,0.01
193,0.56,0.64
194,-1.00E-02,0.005
195,0.14,0.2
196,-1.00E-02,0.01
197,0.39,0.45
198,-1.00E-02,0.01
199,0.48,0.56
200,-1.00E-02,0.01
201,0.54,0.62
202,0.00E+00,0.015
203,0.09,0.15
204,4.00E-02,0.1
205,0.41,0.49
206,5.00E-02,0.11
207,0.26,0.34
208,0.35,0.43
209,0.09,0.15
210,1,1
211,1,1
212,1,1
213,1,1
214,1,1
215,1,1
216,1,1
217,1,1
218,1,1
219,1,1
220,1,1
221,1,1
222,1,1
223,1,1
